Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
Falcon_7B_8-bit,0.3279027006239635,0.565135666844571,0.33555672908681355,0.14085335186816023,0.1937820165945166,0.15114237735922925,0.012015780042783527,0.08435019841269842,0.019094344029585906,0.5,0.5,0.5,0.25,0.5,0.31666666666666665,0.032418546365914784,0.225,0.05552380952380953
LLaMA2-Chat_13B_8-bit,0.4887464125983361,0.7749293490078184,0.5698450747917414,0.20760369473189302,0.31959702812284335,0.24270841023027184,0.11629417092236922,0.1779303614561767,0.13604225614512377,0.7,0.7,0.7,0.4666666666666667,0.55,0.4916666666666667,0.26208333333333333,0.3875,0.2887301587301587
LLaMA2-Chat_7B_8-bit,0.5187798187726481,0.807726110845676,0.5778218205041432,0.13856467787031299,0.1720384755642908,0.13924132150974194,0.0921766130694702,0.1282884755642908,0.10160090387714608,0.7,0.7,0.7,0.2583333333333333,0.4,0.3,0.15902777777777777,0.35,0.20244810744810743
LLaMA2-Instruct_7B_8-bit,0.37856009490553183,0.7729285006458918,0.3784569286548885,0.09873168278238036,0.33378335633770423,0.13716652794683484,0.024381787802840435,0.174994708994709,0.03742652880065312,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.17777777777777776,0.5333333333333333,0.26666666666666666,0.04954800550102744,0.5,0.08668843234060626
LLaMA2_13B_8-bit,0.3895014447063051,0.6813448845392479,0.40805521269802886,0.14675289711063771,0.21939626839770338,0.1690753352014233,0.03653769564543623,0.1267664835164835,0.04745193646394562,0.65,0.65,0.65,0.325,0.55,0.3833333333333333,0.09478900255754476,0.29583333333333334,0.11190476190476191
LLaMA2_7B_8-bit,0.45802403879211645,0.6008395756625022,0.45956719426967546,0.16168396247387845,0.26807695526050945,0.1907710297401721,0.018052287581699345,0.09676069703243616,0.027451712623243984,0.6,0.6,0.6,0.35,0.6,0.41666666666666663,0.05811264822134388,0.2833333333333333,0.09183699633699635
Mistral-Instruct_7B_8-bit,0.5348138667608706,0.6459427800212494,0.5367891559718476,0.19072257850508625,0.22473412698412698,0.1984584399865071,0.05322257850508625,0.07275000000000001,0.0584436109441808,0.75,0.75,0.75,0.5,0.5166666666666667,0.4966666666666667,0.225,0.275,0.22833333333333333
Mistral_7B_8-bit,0.47638968275382443,0.6257007326214852,0.49478316884350493,0.14044777526395175,0.1795156425699904,0.12984674599862056,0.04622957516339869,0.06408157663592447,0.04913153719394346,0.6,0.6,0.6,0.29166666666666663,0.5,0.35,0.09429347826086956,0.19583333333333333,0.10971957671957673
Vicuna_13B_8-bit,0.5717395879802234,0.6759700402054994,0.5816208562090761,0.21227671451355662,0.24229648822400046,0.21521156073978145,0.09644338118022328,0.10860706322662846,0.09764215624486741,0.75,0.75,0.75,0.5,0.5583333333333333,0.5066666666666666,0.25,0.2791666666666667,0.2533333333333333
Vicuna_7B_8-bit,0.5945652759066191,0.5923970268413902,0.5541650709955487,0.19814516129032259,0.20446361267522262,0.19027727055730786,0.03189516129032258,0.07746721877156659,0.031061011904761904,0.75,0.75,0.75,0.4833333333333333,0.6083333333333333,0.5066666666666666,0.15217391304347827,0.3,0.1775
WizardLM_13B_8-bit,0.6167474809115514,0.7052730083925736,0.6062450718626946,0.28468487968487965,0.30603450731032256,0.2811225182186328,0.14458386958386957,0.22217828177216203,0.163677621255307,0.85,0.85,0.85,0.6333333333333333,0.8,0.6833333333333333,0.3532032279314888,0.625,0.4113105413105413
WizardLM_7B_8-bit,0.453914374171139,0.5367745871030565,0.46293434921751064,0.09069112094683279,0.07966609589041096,0.07906430850417415,0.06220715593225553,0.06716609589041096,0.06075156756943949,0.65,0.65,0.65,0.375,0.38333333333333336,0.37333333333333335,0.265,0.2625,0.25476190476190474
Zephyr_7B_8-bit,0.45566915133735747,0.832318668046929,0.5515354990266261,0.16205271966429052,0.287163906142167,0.19863079503882788,0.08498667377398719,0.17039803312629398,0.11008067689254535,0.7,0.7,0.7,0.39999999999999997,0.6,0.45833333333333337,0.21119565217391303,0.4791666666666667,0.2685266585266585
base-random,0.3179462726900418,0.3891421670117322,0.3162557987195439,0.02777777777777778,0.025,0.026050420168067228,0.005555555555555555,0.0,0.0,0.4,0.4,0.4,0.08333333333333333,0.15,0.1,0.0,0.0,0.0
base-silent,0.4057691970757703,0.25,0.25,0.008108108108108109,0.0,0.0,0.008108108108108109,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
gpt-3.5,0.6716823539858537,0.6355432972376605,0.5985802464747201,0.2653828828828829,0.2528123612398735,0.24447704205867474,0.1453828828828829,0.13360706322662846,0.12408454133861917,0.85,0.85,0.85,0.625,0.6833333333333333,0.64,0.45,0.4375,0.42833333333333334
