Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
Falcon_7B_8-bit,0.42686390143337927,0.6554509956425343,0.39682145762492455,0.13362865719321992,0.1639519231929424,0.13026080357402703,0.01583128491738004,0.07773525500263742,0.022167336989808235,0.6,0.6,0.6,0.30500000000000016,0.5425,0.3683333333333331,0.06720282036766423,0.34583333333333327,0.09463626662631577
LLaMA2-Chat_13B_8-bit,0.49251455465897104,0.7928078052020961,0.5490918742094938,0.17263943502771853,0.18337539377977968,0.15976997069789786,0.10123998429089714,0.12152993767463363,0.09597562743427264,0.67,0.67,0.67,0.4016666666666666,0.4966666666666667,0.42383333333333334,0.2022470669427191,0.34208333333333335,0.23414206349206343
LLaMA2-Chat_7B_8-bit,0.5060941455534256,0.8368807866334217,0.571976122953062,0.1344962973012354,0.1358771080460056,0.11373843357155523,0.07004827975673354,0.09458150745893837,0.06783908135163712,0.685,0.685,0.685,0.31416666666666665,0.4258333333333333,0.3463333333333331,0.14415476190476187,0.2925,0.17951934176934167
LLaMA2-Instruct_7B_8-bit,0.5969655892826219,0.8353558721321155,0.6219108121449533,0.2670197466980229,0.4273606717320586,0.29144783845179584,0.04819106357063705,0.23293123001077923,0.06945415927977003,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.4708333333333335,0.8875,0.5869444444444443,0.09556409810532163,0.63125,0.1570856505814701
LLaMA2_13B_8-bit,0.4326957084734416,0.7386929268962871,0.45849901330432113,0.1398804475017034,0.15143133352152416,0.12915313234483602,0.036873940981246675,0.06831876518508571,0.03856643729103346,0.66,0.66,0.66,0.35666666666666663,0.5558333333333333,0.4149999999999999,0.09055340546069444,0.30416666666666664,0.12337429957321257
LLaMA2_7B_8-bit,0.4558032428668791,0.7581883366725586,0.492057824357609,0.15793170638184606,0.184842549660923,0.14780843828784446,0.03775417087346694,0.07310723546940295,0.038388879540483936,0.64,0.64,0.64,0.3425,0.5591666666666666,0.40583333333333316,0.08213508617603214,0.31541666666666673,0.11304810373029847
Mistral-Instruct_7B_8-bit,0.5698510125193615,0.6510219729722121,0.5355733062665873,0.1764795275445275,0.15186749871814018,0.14361772347502838,0.08615649344835732,0.07572320558787558,0.06936444299299481,0.655,0.655,0.655,0.47416666666666674,0.5375,0.4851666666666668,0.2568386818495514,0.31625000000000003,0.26441147186147185
Mistral_7B_8-bit,0.44390263934977187,0.6914114823060976,0.4504277450335735,0.13594919646683,0.1589017289977679,0.1266774350409891,0.046038854422937654,0.07232341203803938,0.04372815522436363,0.615,0.615,0.615,0.3491666666666666,0.5308333333333333,0.40033333333333315,0.09785053217597973,0.3141666666666667,0.12803287983310865
Vicuna_13B_8-bit,0.5908803637410694,0.6699210978018459,0.5568787106178013,0.19976454640870123,0.19056882065344322,0.1729658424516823,0.11453092892091166,0.1175365372900782,0.1004077562959071,0.71,0.71,0.71,0.5375,0.5983333333333334,0.5494999999999999,0.31442555994729904,0.4041666666666666,0.3324617826617826
Vicuna_7B_8-bit,0.5285255327610673,0.6283453148152521,0.49381579198592446,0.16108542522573405,0.14617596740914174,0.13351200441449942,0.062284473920596176,0.06742631735038375,0.05131125284577322,0.61,0.61,0.61,0.43083333333333335,0.48750000000000004,0.44049999999999995,0.18803286749482395,0.26416666666666666,0.20680591630591633
WizardLM_13B_8-bit,0.5226445901662461,0.7559690501606801,0.5202270326766203,0.19337195783595015,0.20534590242749917,0.17725488804614123,0.08807329563478224,0.13441097505185154,0.09305050413492616,0.71,0.71,0.71,0.4174999999999999,0.5725,0.4604999999999999,0.20896807194204212,0.4275,0.24375216524826718
WizardLM_7B_8-bit,0.5653500743219838,0.5666131952162912,0.4899379044116272,0.12078906615329726,0.09340480543315581,0.0872502469597393,0.05626189643134362,0.041466373353517404,0.035995754727779536,0.625,0.625,0.625,0.41583333333333333,0.46333333333333326,0.42566666666666664,0.25547773958068076,0.28500000000000003,0.2559347826086956
Zephyr_7B_8-bit,0.4894226016716573,0.7649949409045589,0.5236324982999395,0.20733778831744865,0.2303265902489789,0.19233034700879922,0.08969419765719058,0.14519312323853154,0.09768512810607398,0.675,0.675,0.675,0.46499999999999986,0.5933333333333334,0.5023333333333334,0.22671540114474897,0.4275,0.2700100101589232
base-random,0.4796885232224967,0.5331817420043142,0.43547605662040056,0.07680070692736254,0.06508124876135549,0.06177071574790512,0.015005952380952379,0.009913335460510207,0.010566311481728792,0.59,0.59,0.59,0.38166666666666665,0.41833333333333333,0.38349999999999995,0.10366666666666666,0.12916666666666668,0.11130158730158729
base-silent,0.5223964001423598,0.34,0.33712094903324735,0.020527336539207578,0.0,0.0,0.020527336539207578,0.0,0.0,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
gpt-3.5,0.7012538815185817,0.6692761459466066,0.6268700856612793,0.23307554303047187,0.20263206577383217,0.20095856198474407,0.1623471791280075,0.13809723714201189,0.13754726520148275,0.72,0.72,0.72,0.6275000000000001,0.6233333333333334,0.6161666666666666,0.4905833333333333,0.49458333333333326,0.48340476190476184
